GEO,LABEL_COUNTRY,ZONE,YEAR_IN,YEAR_OUT
ES, Spain,EU27,1986,2500
ES, Spain,EU28,1986,2500
FI, Finland,EA,1999,2500
FI, Finland,EA12,1999,2500
FI, Finland,EA13,1999,2500
FI, Finland,EA16,1999,2500
FI, Finland,EA17,1999,2500
FI, Finland,EA18,1999,2500
FI, Finland,EA19,1999,2500
FI, Finland,EEA,1994,2500
FI, Finland,EEA18,1994,2500
FI, Finland,EEA28,1994,2500
FI, Finland,EEA30,1994,2500
FI, Finland,EU15,1995,2500
FI, Finland,EU25,1995,2500
FI, Finland,EU27,1995,2500
FI, Finland,EU28,1995,2500
FR, France,EA,1999,2500
FR, France,EA12,1999,2500
FR, France,EA13,1999,2500
FR, France,EA16,1999,2500
FR, France,EA17,1999,2500
FR, France,EA18,1999,2500
FR, France,EA19,1999,2500
FR, France,EEA,1994,2500
FR, France,EEA18,1994,2500
FR, France,EEA28,1994,2500
FR, France,EEA30,1994,2500
FR, France,EU07,1957,2500
FR, France,EU09,1957,2500
FR, France,EU10,1957,2500
FR, France,EU12,1957,2500
FR, France,EU15,1957,2500
FR, France,EU25,1957,2500
FR, France,EU27,1957,2500
FR, France,EU28,1957,2500
HR,Croatia,EEA,2012,2500
HR, Croatia,EU28,2013,2500
HU, Hungary,EEA,2005,2500
HU, Hungary,EEA28,2005,2500
HU, Hungary,EEA30,2005,2500
HU, Hungary,EU25,2004,2500
HU, Hungary,EU27,2004,2500
HU, Hungary,EU28,2004,2500
IE, Ireland,EA,1999,2500
IE, Ireland,EA12,1999,2500
IE, Ireland,EA13,1999,2500
IE, Ireland,EA16,1999,2500
IE, Ireland,EA17,1999,2500
IE, Ireland,EA18,1999,2500
IE, Ireland,EA19,1999,2500
IE, Ireland,EEA,1994,2500
IE, Ireland,EEA18,1994,2500
IE, Ireland,EEA28,1994,2500
IE, Ireland,EEA30,1994,2500
IE, Ireland,EU09,1973,2500
IE, Ireland,EU10,1973,2500
IE, Ireland,EU12,1973,2500
IE, Ireland,EU15,1973,2500
IE, Ireland,EU25,1973,2500
IE, Ireland,EU27,1973,2500
IE, Ireland,EU28,1973,2500
IS, Iceland,EEA,1994,2500
IS, Iceland,EEA18,1994,2500
IS, Iceland,EEA28,1994,2500
IS, Iceland,EEA30,1994,2500
IT, Italy,EA,1999,2500
IT, Italy,EA12,1999,2500
IT, Italy,EA13,1999,2500
IT, Italy,EA16,1999,2500
IT, Italy,EA17,1999,2500
IT, Italy,EA18,1999,2500
IT, Italy,EA19,1999,2500
IT, Italy,EEA,1994,2500
IT, Italy,EEA18,1994,2500
IT, Italy,EEA28,1994,2500
IT, Italy,EEA30,1994,2500
IT, Italy,EU07,1957,2500
IT, Italy,EU09,1957,2500
IT, Italy,EU10,1957,2500
IT, Italy,EU12,1957,2500
IT, Italy,EU15,1957,2500
IT, Italy,EU25,1957,2500
IT, Italy,EU27,1957,2500
IT, Italy,EU28,1957,2500
LI, Liechtenstein,EEA,1995,2500
LI, Liechtenstein,EEA18,1995,2500
LI, Liechtenstein,EEA28,1995,2500
LI, Liechtenstein,EEA30,1995,2500
LT, Lithuania,EA,2015,2500
LT, Lithuania,EA19,2015,2500
LT, Lithuania,EEA,2005,2500
LT, Lithuania,EEA28,2005,2500
LT, Lithuania,EEA30,2005,2500
LT, Lithuania,EU25,2004,2500
LT, Lithuania,EU27,2004,2500
LT, Lithuania,EU28,2004,2500
LU, Luxembourg,EA,1999,2500
LU, Luxembourg,EA12,1999,2500
LU, Luxembourg,EA13,1999,2500
LU, Luxembourg,EA16,1999,2500
LU, Luxembourg,EA17,1999,2500
LU, Luxembourg,EA18,1999,2500
LU, Luxembourg,EA19,1999,2500
LU, Luxembourg,EEA,1994,2500
LU, Luxembourg,EEA18,1994,2500
LU, Luxembourg,EEA28,1994,2500
LU, Luxembourg,EEA30,1994,2500
LU, Luxembourg,EU07,1957,2500
LU, Luxembourg,EU09,1957,2500
LU, Luxembourg,EU10,1957,2500
LU, Luxembourg,EU12,1957,2500
LU, Luxembourg,EU15,1957,2500
LU, Luxembourg,EU25,1957,2500
LU, Luxembourg,EU27,1957,2500
LU, Luxembourg,EU28,1957,2500
LV, Latvia,EA,2014,2500
LV, Latvia,EA18,2014,2500
LV, Latvia,EA19,2014,2500
LV, Latvia,EEA,2005,2500
LV, Latvia,EEA28,2005,2500
LV, Latvia,EEA30,2005,2500
LV, Latvia,EU25,2004,2500
LV, Latvia,EU27,2004,2500
LV, Latvia,EU28,2004,2500
MT, Malta,EA,2008,2500
MT, Malta,EA16,2008,2500
MT, Malta,EA17,2008,2500
MT, Malta,EA18,2008,2500
MT, Malta,EA19,2008,2500
MT, Malta,EEA,2005,2500
MT, Malta,EEA28,2005,2500
MT, Malta,EEA30,2005,2500
MT, Malta,EU25,2004,2500
MT, Malta,EU27,2004,2500
MT, Malta,EU28,2004,2500
NL, Netherlands,EA,1999,2500
NL, Netherlands,EA12,1999,2500
