label,variable,start,end,sexcl,eexcl,type,_fmt1_HS120_
EM_GD,HS120,1,1,0,0,N,1
EM_D,HS120,2,2,0,0,N,1
EM_SD,HS120,3,3,0,0,N,1
EM_FE,HS120,4,4,0,0,N,1
EM_E,HS120,5,5,0,0,N,1
EM_VE,HS120,6,6,0,0,N,1
