label,variable,start,end,sexcl,eexcl,type,_fmt1_PE40_,_fmt2_PE40_
ED0-2,PE40,0,2,0,0,N,1,1
ED3_4,PE40,3,4,0,0,N,1,1
ED5-8,PE40,5,8,0,0,N,1,1
TOTAL,PE40,0,8,0,0,N,1, 
