GEO,TIME,IDX2005
AT,2015,121.51
BE,2015,120.96
BG,2015,141.3
CH,2015,102.6
CY,2015,117.81
CZ,2015,122.8
DE,2015,116.3
DK,2015,117.7
EE,2015,144.32
ES,2015,120.02
FI,2015,121.65
FR,2015,115.68
EL,2015,118.56
HR,2015,125.26
HU,2015,144.97
IE,2015,109.5
IS,2015,177.97
IT,2015,119.4
LT,2015,139.14
LU,2015,123.69
LV,2015,148.36
MT,2015,122.42
NL,2015,116.86
NO,2015,120.4
PL,2015,124.7
PT,2015,116.77
RO,2015,154.07
SE,2015,114.9
SI,2015,123.2
SK,2015,122.39
TR,2015,221.48
UK,2015,
AT,2014,120.54
BE,2014,120.22
BG,2014,142.81
CH,2014,103.5
CY,2014,119.66
CZ,2014,122.4
DE,2014,116.2
DK,2014,117.4
EE,2014,144.22
ES,2014,120.77
FI,2014,121.84
FR,2014,115.58
EL,2014,119.87
HR,2014,125.59
HU,2014,144.88
IE,2014,109.6
IS,2014,177.51
IT,2014,119.3
LT,2014,140.08
LU,2014,123.62
LV,2014,148.05
MT,2014,121
NL,2014,116.61
NO,2014,118
PL,2014,125.6
PT,2014,116.18
RO,2014,154.71
SE,2014,114.1
SI,2014,124.14
SK,2014,122.81
TR,2014,205.56
UK,2014,128
AT,2013,118.8
BE,2013,119.57
BG,2013,145.14
CH,2013,103.5
CY,2013,119.98
CZ,2013,121.9
DE,2013,115.3
DK,2013,117
EE,2013,143.53
ES,2013,121
FI,2013,120.38
FR,2013,114.88
EL,2013,121.56
HR,2013,125.31
HU,2013,144.85
IE,2013,109.2
IS,2013,175.77
IT,2013,119
LT,2013,139.75
LU,2013,122.77
LV,2013,147.03
MT,2013,120.07
NL,2013,116.24
NO,2013,115.8
PL,2013,125.5
PT,2013,116.36
RO,2013,152.61
SE,2013,113.86
SI,2013,123.68
SK,2013,122.93
TR,2013,188.74
UK,2013,126.1
AT,2012,116.34
BE,2012,118.16
BG,2012,144.58
CH,2012,103.4
CY,2012,119.52
CZ,2012,120.3
DE,2012,113.5
DK,2012,116.5
EE,2012,139.02
ES,2012,119.18
FI,2012,117.77
FR,2012,113.75
EL,2012,122.61
HR,2012,122.46
HU,2012,142.42
IE,2012,108.7
IS,2012,168.79
IT,2012,117.5
LT,2012,138.14
LU,2012,120.72
LV,2012,147.02
MT,2012,118.91
NL,2012,113.34
NO,2012,113.6
PL,2012,124.5
PT,2012,115.85
RO,2012,147.88
SE,2012,113.36
SI,2012,121.35
SK,2012,121.16
TR,2012,175.65
UK,2012,123
AT,2011,113.42
BE,2011,115.27
BG,2011,141.21
CH,2011,104.2
CY,2011,115.93
CZ,2011,116.2
DE,2011,111.1
DK,2011,113.8
EE,2011,133.4
ES,2011,116.35
FI,2011,114.16
FR,2011,111.28
EL,2011,121.35
HR,2011,118.49
HU,2011,134.79
IE,2011,106.6
IS,2011,159.22
IT,2011,113.8
LT,2011,133.9
LU,2011,117.32
LV,2011,143.73
MT,2011,115.19
NL,2011,110.23
NO,2011,113.1
PL,2011,120.1
PT,2011,112.72
RO,2011,143.04
SE,2011,112.31
SI,2011,118.03
SK,2011,116.79
TR,2011,161.22
UK,2011,119.6
AT,2010,109.53
BE,2010,111.4
BG,2010,136.58
CH,2010,104.1
CY,2010,112.02
CZ,2010,113.7
DE,2010,108.4
DK,2010,110.8
EE,2010,126.95
ES,2010,112.9
FI,2010,110.49
FR,2010,108.79
EL,2010,117.68
HR,2010,115.93
HU,2010,129.7
IE,2010,105.4
IS,2010,152.79
IT,2010,110.6
LT,2010,128.6
LU,2010,113.1
LV,2010,137.91
MT,2010,112.37
NL,2010,107.56
NO,2010,111.8
PL,2010,115.6
PT,2010,108.85
RO,2010,135.17
SE,2010,110.8
SI,2010,115.62
SK,2010,112.21
TR,2010,151.43
UK,2010,114.5
AT,2009,107.71
BE,2009,108.86
BG,2009,132.56
CH,2009,103.4
CY,2009,109.22
CZ,2009,112.4
DE,2009,107.2
DK,2009,108.4
EE,2009,123.56
ES,2009,110.64
FI,2009,108.66
FR,2009,106.93
EL,2009,112.4
HU,2009,123.85
IE,2009,107.1
IS,2009,142.18
IT,2009,108.8
LT,2009,127.09
LU,2009,110.02
LV,2009,139.62
MT,2009,110.12
NL,2009,106.57
NO,2009,109.2
PL,2009,112.6
PT,2009,107.36
RO,2009,127.43
SE,2009,108.72
SI,2009,113.25
SK,2009,111.43
TR,2009,139.47
UK,2009,110.8
AT,2008,107.28
BE,2008,108.87
BG,2008,129.36
CH,2008,104.2
CY,2008,109.03
CZ,2008,111.7
DE,2008,107
DK,2008,107.3
EE,2008,123.31
ES,2008,110.91
FI,2008,106.91
FR,2008,106.82
EL,2008,110.9
HU,2008,119.05
IE,2008,108.9
IS,2008,122.29
IT,2008,108
LT,2008,122.01
LU,2008,110.01
LV,2008,135.21
MT,2008,108.13
NL,2008,105.54
NO,2008,106.7
PL,2008,108.3
PT,2008,108.34
RO,2008,120.69
SE,2008,106.65
SI,2008,112.28
SK,2008,110.41
TR,2008,131.26
UK,2008,108.5
AT,2007,103.93
BE,2007,104.19
BG,2007,115.55
CH,2007,101.8
CY,2007,104.46
CZ,2007,105.1
DE,2007,104.1
DK,2007,103.5
EE,2007,111.49
ES,2007,106.51
FI,2007,102.88
FR,2007,103.55
EL,2007,106.4
HU,2007,112.28
IE,2007,105.6
IS,2007,108.45
IT,2007,104.3
LT,2007,109.83
LU,2007,105.69
LV,2007,117.32
MT,2007,103.29
NL,2007,103.26
NO,2007,103.2
PL,2007,103.9
PT,2007,105.54
RO,2007,111.84
SE,2007,103.2
SI,2007,106.39
SK,2007,106.23
TR,2007,118.85
UK,2007,104.7
AT,2006,101.69
BE,2006,102.33
BG,2006,107.42
CH,2006,101
CY,2006,102.25
CZ,2006,102.1
DE,2006,101.8
DK,2006,101.8
EE,2006,104.45
ES,2006,103.56
FI,2006,101.28
FR,2006,101.91
EL,2006,103.31
HU,2006,104.03
IE,2006,102.7
IS,2006,104.65
IT,2006,102.2
LT,2006,103.79
LU,2006,102.96
LV,2006,106.57
MT,2006,102.58
NL,2006,101.65
NO,2006,102.5
PL,2006,101.3
PT,2006,103.04
RO,2006,106.6
SE,2006,101.5
SI,2006,102.54
SK,2006,104.26
TR,2006,109.28
UK,2006,102.3
AT,2005,100
BE,2005,100
BG,2005,100
CH,2005,100
CY,2005,100
CZ,2005,100
DE,2005,100
DK,2005,100
EE,2005,100
ES,2005,100
FI,2005,100
FR,2005,100
EL,2005,100
HU,2005,100
IE,2005,100
IS,2005,100
IT,2005,100
LT,2005,100
LU,2005,100
LV,2005,100
MT,2005,100
NL,2005,100
NO,2005,100
PL,2005,100
PT,2005,100
RO,2005,100
SE,2005,100
SI,2005,100
SK,2005,100
TR,2005,100
UK,2005,100
