geo ,mand_sch_age,year
BE,6,2005
BG,7,2005
CZ,6,2005
DK,7,2008
DK,6,2009
DE,6,2005
EE,7,2005
IE,6,2005
EL,6,2007
EL,5,2008
ES,6,2005
FR,6,2005
HR,6,2013
HR,6,2014
IT,6,2005
CY,5,2005
LV,5,2005
LT,7,2005
LU,4,2005
HU,5,2005
MT,5,2005
NL,5,2005
AT,6,2005
PL,6,2011
PL,5,2012
PT,6,2005
RO,6,2005
SI,6,2005
SK,6,2005
FI,7,2005
SE,7,2005
UK,5,2005
IS,6,2005
NO,6,2005
TK,6,2005
CH,6,2012
CH,5,2013
RS,0,2005
MK,0,2005
 , ,
