country,folder,year,ppp,currency,rate
it,10,2014,1.0331,eur,1
cy,11,2014,0.929437,eur,1
lv,12,2014,0.703498,lvl,1
lt,13,2014,2.19247,ltl,3.4528
lu,14,2014,1.20392,eur,1
hu,15,2014,177.471,huf,296.87
mt,16,2014,0.81649,eur,1
nl,17,2014,1.10044,eur,1
at,18,2014,1.06083,eur,1
pl,19,2014,2.35343,pln,4.1975
pt,20,2014,0.820119,eur,1
ro,21,2014,2.3722,ron,4.419
si,22,2014,0.83752,eur,1
sk,23,2014,0.689415,eur,1
fi,24,2014,1.23039,eur,1
se,25,2014,11.4463,sek,8.6515
is,26,2014,181.368,isk,162.38
no,27,2014,12.1967,nok,7.8067
ch,28,2014,1.82491,chf,1.2311
tr,30,2014,1.62382,try,2.5335
ie,31,2014,1.217545,eur,1
uk,32,2014,0.979387,gbp,0.80612
hr,33,2014,5.18898,hrk,7.5786
mk,34,2014,29.2593,mkd,61.585
rs,35,2014,59.6475,rsd,113.137
me,36,2014,0.567942,eur,1
be,1,2013,1.09479,eur,1
bg,2,2013,0.981077,bgn,1.9558
cz,3,2013,18.0273,czk,25.149
dk,4,2013,10.3187,dkk,7.4437
de,5,2013,1.00919,eur,1
ee,6,2013,0.738792,eur,1
el,7,2013,0.920991,eur,1
es,8,2013,0.956115,eur,1
fr,9,2013,1.08953,eur,1
it,10,2013,1.02731,eur,1
cy,11,2013,0.934948,eur,1
lv,12,2013,0.711069,lvl,1
lt,13,2013,2.22771,ltl,3.4528
lu,14,2013,1.18429,eur,1
hu,15,2013,176.848,huf,289.25
mt,16,2013,0.789775,eur,1
nl,17,2013,1.08232,eur,1
at,18,2013,1.05228,eur,1
pl,19,2013,2.35652,pln,4.1847
pt,20,2013,0.824667,eur,1
ro,21,2013,2.31268,ron,4.4593
si,22,2013,0.837548,eur,1
sk,23,2013,0.701496,eur,1
fi,24,2013,1.21305,eur,1
se,25,2013,11.0395,sek,8.7041
is,26,2013,177.858,isk,160.73
no,27,2013,11.9885,nok,7.4751
ch,28,2013,1.85034,chf,1.2053
tr,30,2013,1.50913,try,2.3135
ie,31,2013,1.1867,eur,1
uk,32,2013,0.946878,gbp,0.84926
hr,33,2013,5.19006,hrk,7.5217
mk,34,2013,29.5572,mkd,61.5235
rs,35,2013,56.4981,rsd,113.1277
me,36,2013,0.559816,eur,1
be,1,2012,1.10266,eur,1
bg,2,2012,0.981875,bgn,1.9558
cz,3,2012,18.1278,czk,24.59
dk,4,2012,10.5335,dkk,7.4506
de,5,2012,1.02226,eur,1
ee,6,2012,0.760305,eur,1
el,7,2012,0.951621,eur,1
es,8,2012,0.969734,eur,1
fr,9,2012,1.09931,eur,1
it,10,2012,1.03123,eur,1
cy,11,2012,0.934511,eur,1
lv,12,2012,0.729609,lvl,1
lt,13,2012,2.23622,ltl,3.4528
lu,14,2012,1.20644,eur,1
hu,15,2012,172.574,huf,279.37
mt,16,2012,0.795514,eur,1
nl,17,2012,1.08437,eur,1
at,18,2012,1.05873,eur,1
pl,19,2012,2.41305,pln,4.1206
pt,20,2012,0.849974,eur,1
ro,21,2012,2.34154,ron,4.2391
si,22,2012,0.853855,eur,1
sk,23,2012,0.708473,eur,1
fi,24,2012,1.22156,eur,1
se,25,2012,11.3657,sek,9.0298
is,26,2012,173.283,isk,161.42
no,27,2012,12.2052,nok,7.7934
ch,28,2012,1.97534,chf,1.2326
tr,30,2012,1.45242,try,2.3378
ie,31,2012,1.18934,eur,1
